n,heapsort.ticks
150000,16502953
180000,20124572
210000,23778613
240000,27465440
270000,31182488
300000,34952075
330000,38760635
360000,42588605
390000,46445863
420000,50294430
450000,54161897
480000,58044596
510000,61929087
540000,65864318
570000,69838274
600000,73824055
630000,77812021
660000,81806487
690000,85817873
720000,89854781
750000,93890007
780000,97941657
810000,101989682
840000,106038906
870000,110098966
900000,114169836
930000,118255059
960000,122322428
990000,126415847
1020000,130514830
1050000,134628570
1080000,138754595
1110000,142921395
1140000,147075092
1170000,151251009
1200000,155423947
1230000,159618640
1260000,163799692
1290000,167999461
1320000,172209081
1350000,176390759
1380000,180618606
1410000,184845799
