n,heapsort.time
150000,83
180000,100
210000,130
240000,160
270000,183
300000,235
330000,273
360000,301
390000,364
420000,392
450000,445
480000,476
510000,497
540000,582
570000,530
600000,662
630000,822
660000,859
690000,910
720000,973
750000,881
780000,940
810000,1136
840000,1027
870000,1094
900000,1302
930000,1346
960000,1146
990000,1527
1020000,1593
1050000,1274
1080000,1409
1110000,1302
1140000,1479
1170000,1590
1200000,1396
1230000,1655
1260000,1647
1290000,1585
1320000,1836
1350000,1975
1380000,1890
1410000,1737
